"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Arunachal_Pradesh","1","1","1978","2","0","3","1","KARMA WANGCHU","M","IND","2313","","3549","4960","TAWANG-I","GEN","","2","71.55","65.17","no","1077","30.35","1.85","AEAR81785","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","1","1978","2","0","3","2","TASHI LAMA","M","JNP","1236","","3549","4960","TAWANG-I","GEN","","2","71.55","34.83","no","0","0","1.85","AEAR82166","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","2","1978","2","0","3","1","TASHI KHANDU","M","IND","1874","","3510","4650","TAWANG - II","GEN","","2","75.48","53.39","no","238","6.78","1.96","AEAR82167","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","2","1978","2","0","3","2","TSERING TASHI","M","JNP","1636","","3510","4650","TAWANG - II","GEN","","2","75.48","46.61","no","0","0","1.96","AEAR82168","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","3","1978","2","0","3","1","PREM KHANDU THUNGON (UNCONTESTED)","M","JNP","0","","0","7232","DIRANG KALAKTANG","GEN","","1","0","","no","0","","","AEAR82169","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","4","1978","2","0","3","1","RINCHIN KHARU","M","JNP","2734","","3720","5105","BOMDILA","GEN","","2","72.87","73.49","no","1748","46.99","1.64","AEAR82170","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","4","1978","2","0","3","2","DORJEE TSERING","M","IND","986","","3720","5105","BOMDILA","GEN","","2","72.87","26.51","no","0","0","1.64","AEAR82171","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","5","1978","2","0","3","1","DONGLO SONAM","M","JNP","4232","","6483","10831","SEPPA","GEN","","4","59.86","65.28","no","2583","39.84","2.04","AEAR81629","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","5","1978","2","0","3","2","NYARI WELLI","F","PPA","1649","","6483","10831","SEPPA","GEN","","4","59.86","25.44","no","1338","20.64","2.04","AEAR81968","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Arunachal_Pradesh","1","5","1978","2","0","3","3","NIMA NOTUNG","M","IND","311","","6483","10831","SEPPA","GEN","","4","59.86","4.8","yes","20","0.31","2.04","AEAR82174","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
