"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Chhattisgarh","1","1","2003","12","0","3","1","GULAB SINGH","M","INC","41515","","112627","173471","MANENDRAGARH","ST","","11","64.93","36.86","no","7526","6.68","4","AECGAEMP823","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","2","RAM LAKHAN SINGH","M","BJP","33989","","112627","173471","MANENDRAGARH","ST","","11","64.93","30.18","no","21374","18.98","4","AECGAEMP4","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","3","DR. L.S. UDAY","M","GGP","12615","","112627","173471","MANENDRAGARH","ST","","11","64.93","11.2","yes","2167","1.92","4","AECGAEMP5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","4","CHHOTE LAL","M","NCP","10448","","112627","173471","MANENDRAGARH","ST","","11","64.93","9.28","yes","5550","4.93","4","AECGAEMP6","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","5","VIMAL KUMAR","M","IND","4898","","112627","173471","MANENDRAGARH","ST","","11","64.93","4.35","yes","2138","1.9","4","AECGAEMP7","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","6","DRIGPAL SINGH UIKAY","M","BSP","2760","","112627","173471","MANENDRAGARH","ST","","11","64.93","2.45","yes","1093","0.97","4","AECGAEMP8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","7","MAN SINGH","M","IND","1667","","112627","173471","MANENDRAGARH","ST","","11","64.93","1.48","yes","192","0.17","4","AECGAEMP9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","8","BHAGWAN SINGH","M","SP","1475","","112627","173471","MANENDRAGARH","ST","","11","64.93","1.31","yes","239","0.21","4","AECGAEMP10","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","9","BUDDHSEN SINGH","M","JD(U)","1236","","112627","173471","MANENDRAGARH","ST","","11","64.93","1.1","yes","210","0.19","4","AECGAEMP11","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","10","GAMBHIR SINGH","M","LSWP","1026","","112627","173471","MANENDRAGARH","ST","","11","64.93","0.91","yes","28","0.02","4","AECGAEMP2","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","1","2003","12","0","3","11","SAMAY LAL GURUJI","M","LJNSP","998","","112627","173471","MANENDRAGARH","ST","","11","64.93","0.89","yes","0","0","4","AECGAEMP3","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","1","DR. RAM CHANDRA SINGH DEV","M","INC","51107","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","41.92","no","7970","6.54","3.12","AEMP8211","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","2","BHAIYA LAL RAJWADE","M","BJP","43137","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","35.39","no","32818","26.92","3.12","AECGAEMP14","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","3","PRAKASH TIWARI","M","NCP","10319","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","8.46","yes","4625","3.79","3.12","AECGAEMP15","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","4","KAMLESHWAR PRASAD","M","GGP","5694","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","4.67","yes","1850","1.52","3.12","AECGAEMP16","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","5","D.L.BHASKAR","M","BSP","3844","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","3.15","yes","1081","0.89","3.12","AECGAEMP17","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","6","HEERA LAL","M","IND","2763","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","2.27","yes","1060","0.87","3.12","AECGAEMP18","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","7","BALBHADRA PANDEY","M","CPM","1703","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","1.4","yes","345","0.28","3.12","AECGAEMP19","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Chhattisgarh","1","2","2003","12","0","3","8","PT. ANIL MAHRAJ","M","IND","1358","","121903","175583","BAIKUNTHPUR","GEN","","10","69.43","1.11","yes","281","0.23","3.12","AECGAEMP20","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
