"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Delhi","2","1","1972","3","0","2","1","P. N. SINGH","M","INC","10441","","19766","29444","SAROJINI NAGAR","GEN","","2","67.13","52.82","no","1116","5.65","2","AEDL106144","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","1","1972","3","0","2","2","RAM BHAJ","M","BJS","9325","","19766","29444","SAROJINI NAGAR","GEN","","2","67.13","47.18","no","0","0","2","AEDL106145","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","2","1972","3","0","2","1","ARJUN DAS","M","INC","10878","","17773","28711","LAKSHMI BAI NAGAR","GEN","","3","61.9","61.21","no","4152","23.36","1.96","AEDL106146","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","2","1972","3","0","2","2","KIDAR NATH SACHDEVA","M","BJS","6726","","17773","28711","LAKSHMI BAI NAGAR","GEN","","3","61.9","37.84","no","6557","36.89","1.96","AEDL106147","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","2","1972","3","0","2","3","CHANDAN","M","IND","169","","17773","28711","LAKSHMI BAI NAGAR","GEN","","3","61.9","0.95","yes","0","0","1.96","AEDL106148","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","3","1972","3","0","2","1","ASOKE CHATTERJEE","M","INC","7909","","18526","29432","GOLE MARKET","GEN","","7","62.95","42.69","no","3166","17.09","3.7","AEDL106149","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","3","1972","3","0","2","2","MOHINDER PAL CHAWLA","M","BJS","4743","","18526","29432","GOLE MARKET","GEN","","7","62.95","25.6","no","2556","13.8","3.7","AEDL106150","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","3","1972","3","0","2","3","KHEM CHAND","M","IND","2187","","18526","29432","GOLE MARKET","GEN","","7","62.95","11.81","yes","478","2.58","3.7","AEDL106151","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","3","1972","3","0","2","4","S. L. KAPUR","M","NCO","1709","","18526","29432","GOLE MARKET","GEN","","7","62.95","9.22","yes","529","2.86","3.7","AEDL106152","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Delhi","2","3","1972","3","0","2","5","RAM PARSHAD","M","IND","1180","","18526","29432","GOLE MARKET","GEN","","7","62.95","6.37","yes","574","3.1","3.7","AEDL106153","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
