"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","1","K . B . LAXMAN","M","MAG","4499","","7480","11647","PERNEM","GEN","","8","64.22","60.15","no","2318","30.99","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","2","B . DESPRABHU","M","IND","2181","","7480","11647","PERNEM","GEN","","8","64.22","29.16","no","1835","24.53","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","3","P . O . S . GOVIND","M","UGS","346","","7480","11647","PERNEM","GEN","","8","64.22","4.63","yes","177","2.37","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","4","D . S . GOVINDRAO","M","PSP","169","","7480","11647","PERNEM","GEN","","8","64.22","2.26","yes","23","0.31","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","5","P . D . N . YESHWANT","M","IND","146","","7480","11647","PERNEM","GEN","","8","64.22","1.95","yes","57","0.76","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","6","N . D . S . JAGANNATH","M","IND","89","","7480","11647","PERNEM","GEN","","8","64.22","1.19","yes","63","0.84","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","7","T . N . SWAR","M","IND","26","","7480","11647","PERNEM","GEN","","8","64.22","0.35","yes","2","0.03","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1967","2","0","2","8","B . K . VINAYAK","M","IND","24","","7480","11647","PERNEM","GEN","","8","64.22","0.32","yes","0","0","2.22","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1971","2","1","2","1","K.B.LAXMAN","","MAG","6806","","9012","11647","PERNEM","GEN","","4","77.38","75.52","no","4813","53.41","1.61","","","","","","","","","","","","","","","",""
"AE","Goa_Daman_&_Diu","1","1","1971","2","1","2","2","P.A.JAIRAM","","INC","1993","","9012","11647","PERNEM","GEN","","4","77.38","22.11","no","1870","20.75","1.61","","","","","","","","","","","","","","","",""
