"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Haryana","1","1","1967","2","0","2","1","L. SINGH","M","IND","12787","","39477","54716","KALKA","GEN","","5","72.15","32.39","no","701","1.78","3.85","AEHR1","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","1","1967","2","0","2","2","K. LAL","M","INC","12086","","39477","54716","KALKA","GEN","","5","72.15","30.62","no","3578","9.06","3.85","AEHR2","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","1","1967","2","0","2","3","J. SINGH","M","IND","8508","","39477","54716","KALKA","GEN","","5","72.15","21.55","no","2534","6.42","3.85","AEHR3","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","1","1967","2","0","2","4","P. KUMAR","M","BJS","5974","","39477","54716","KALKA","GEN","","5","72.15","15.13","yes","5852","14.82","3.85","AEHR4","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","1","1967","2","0","2","5","S. SINGH","M","IND","122","","39477","54716","KALKA","GEN","","5","72.15","0.31","yes","0","0","3.85","AEHR5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","1","L. SINGH","M","INC","16691","","36803","56067","NARAINGARH","GEN","","6","65.64","45.35","no","8163","22.18","3.45","AEHR6","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","2","R. N. SARUP","M","BJS","8528","","36803","56067","NARAINGARH","GEN","","6","65.64","23.17","no","1712","4.65","3.45","AEHR7","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","3","N. LAL","M","RPI","6816","","36803","56067","NARAINGARH","GEN","","6","65.64","18.52","no","4525","12.3","3.45","AEHR8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","4","S. RAM","M","SWA","2291","","36803","56067","NARAINGARH","GEN","","6","65.64","6.23","yes","750","2.04","3.45","AEHR9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","5","G. SINGH","M","IND","1541","","36803","56067","NARAINGARH","GEN","","6","65.64","4.19","yes","605","1.64","3.45","AEHR10","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","2","1967","2","0","2","6","B. PARSHAD","M","IND","936","","36803","56067","NARAINGARH","GEN","","6","65.64","2.54","yes","0","0","3.45","AEHR11","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","3","1967","2","0","2","1","R. PARKASH","M","INC","15525","","36543","57364","CHHACHROLI","SC","","4","63.7","42.48","no","920","2.52","2.78","AEHR12","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","3","1967","2","0","2","2","P. CHAND","M","IND","14605","","36543","57364","CHHACHROLI","SC","","4","63.7","39.97","no","11293","30.9","2.78","AEHR13","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","3","1967","2","0","2","3","S. RAM","M","CPI","3312","","36543","57364","CHHACHROLI","SC","","4","63.7","9.06","yes","211","0.58","2.78","AEHR14","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Haryana","1","3","1967","2","0","2","4","4. KISHORE","M","BJS","3101","","36543","57364","CHHACHROLI","SC","","4","63.7","8.49","yes","0","0","2.78","AEHR15","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
