"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Himachal_Pradesh","2","1","1967","2","0","2","1","T.S.NEGI","M","IND","13559","","15356","22957","KINNAUR","ST","","2","66.89","88.3","no","11762","76.6","1.27","AEHP1","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","1","1967","2","0","2","2","G.SINGH","M","INC","1797","","15356","22957","KINNAUR","ST","","2","66.89","11.7","yes","0","0","1.27","AEHP2","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","2","1967","2","0","2","1","N.RAM","M","IND","5423","","10042","23375","RAMPUR","SC","","3","42.96","54","no","941","9.37","2.04","AEHP3","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","2","1967","2","0","2","2","B.RAM","M","INC","4482","","10042","23375","RAMPUR","SC","","3","42.96","44.63","no","4345","43.27","2.04","AEHP4","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","2","1967","2","0","2","3","S.DASS","M","IND","137","","10042","23375","RAMPUR","SC","","3","42.96","1.36","yes","0","0","2.04","AEHP5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","3","1967","2","0","2","1","P.DEV","M","INC","6590","","12795","26934","ROHRU","GEN","","4","47.51","51.5","no","2836","22.16","2.7","AEHP6","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","3","1967","2","0","2","2","N.SINGH","M","IND","3754","","12795","26934","ROHRU","GEN","","4","47.51","29.34","no","2200","17.19","2.7","AEHP7","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","3","1967","2","0","2","3","S.RAM","M","IND","1554","","12795","26934","ROHRU","GEN","","4","47.51","12.15","yes","657","5.13","2.7","AEHP8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","3","1967","2","0","2","4","G.DAS","M","IND","897","","12795","26934","ROHRU","GEN","","4","47.51","7.01","yes","0","0","2.7","AEHP9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","4","1967","2","0","2","1","R.LAL","M","INC","10496","","13187","22142","JUBBAL","GEN","","4","59.56","79.59","no","9004","68.28","1.56","AEHP10","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","4","1967","2","0","2","2","R.SINGH","M","IND","1492","","13187","22142","JUBBAL","GEN","","4","59.56","11.31","yes","803","6.09","1.56","AEHP11","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","4","1967","2","0","2","3","S.NAND","M","IND","689","","13187","22142","JUBBAL","GEN","","4","59.56","5.22","yes","179","1.36","1.56","AEHP12","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","4","1967","2","0","2","4","M.LAL","M","IND","510","","13187","22142","JUBBAL","GEN","","4","59.56","3.87","yes","0","0","1.56","AEHP13","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","5","1967","2","0","2","1","K.RAM","M","IND","8818","","16957","29250","CHOPAL","GEN","","2","57.97","52","no","679","4","2","AEHP14","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","5","1967","2","0","2","2","S.RAM","M","INC","8139","","16957","29250","CHOPAL","GEN","","2","57.97","48","no","0","0","2","AEHP15","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","6","1967","2","0","2","1","J.B.L.KHACHI","M","IND","10451","","15881","26783","THEOG","GEN","","5","59.3","65.81","no","6029","37.96","1.96","AEHP16","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","6","1967","2","0","2","2","B.R.BHALAIK","M","INC","4422","","15881","26783","THEOG","GEN","","5","59.3","27.84","no","3832","24.13","1.96","AEHP17","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","6","1967","2","0","2","3","G.DASS","M","BJS","590","","15881","26783","THEOG","GEN","","5","59.3","3.72","yes","214","1.35","1.96","AEHP18","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","6","1967","2","0","2","4","D.RAM","M","IND","376","","15881","26783","THEOG","GEN","","5","59.3","2.37","yes","334","2.1","1.96","AEHP19","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","6","1967","2","0","2","5","S.R.PARKASH","M","IND","42","","15881","26783","THEOG","GEN","","5","59.3","0.26","yes","0","0","1.96","AEHP20","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Himachal_Pradesh","2","7","1967","2","0","2","1","S.RAM","M","INC","4571","","13054","28637","KASUMPTI","GEN","","3","45.58","35.02","no","112","0.86","2.94","AEHP21","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
