"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Jammu_&_Kashmir","1","1","1962","2","0","1","1","SHIV RAM","M","NC","10156","","16696","26176","AKHNUR","SC","","4","63.78","60.83","no","4952","29.66","2.13","AEJK105701","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","1","1962","2","0","1","2","SAT DEV","M","PP","5204","","16696","26176","AKHNUR","SC","","4","63.78","31.17","no","4303","25.77","2.13","AEJK105702","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","1","1962","2","0","1","3","PUNNU RAM","M","HM","901","","16696","26176","AKHNUR","SC","","4","63.78","5.4","yes","466","2.79","2.13","AEJK105703","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","1","1962","2","0","1","4","RAM CHAND","M","DNC","435","","16696","26176","AKHNUR","SC","","4","63.78","2.61","yes","0","0","2.13","AEJK105704","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","2","1962","2","0","1","1","CHHAJU RAM","M","NC","10142","","19190","26698","CHHAMB","GEN","","4","71.88","52.85","no","3741","19.49","2.5","AEJK105705","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","2","1962","2","0","1","2","SAHDEV SINGH","M","PP","6401","","19190","26698","CHHAMB","GEN","","4","71.88","33.36","no","4718","24.59","2.5","AEJK105706","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","2","1962","2","0","1","3","DEVI DAYAL","M","IND","1683","","19190","26698","CHHAMB","GEN","","4","71.88","8.77","yes","719","3.75","2.5","AEJK105707","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","2","1962","2","0","1","4","PISHORI LAL","M","HM","964","","19190","26698","CHHAMB","GEN","","4","71.88","5.02","yes","0","0","2.5","AEJK105708","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","3","1962","2","0","1","1","BHAGAT CHHAJU RAM","M","NC","8199","","14767","19017","RANBIRSINGHPURA","SC","","4","77.65","55.52","no","3172","21.48","2.27","AEJK105709","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Jammu_&_Kashmir","1","3","1962","2","0","1","2","SHIV RAM","M","DNC","5027","","14767","19017","RANBIRSINGHPURA","SC","","4","77.65","34.04","no","3820","25.87","2.27","AEJK105710","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
