"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Jharkhand","1","1","2005","2","0","3","1","THOMAS HANSDA","M","INC","36472","ST","141779","225100","RAJMAHAL","GEN","","24","62.98","25.72","no","11176","7.88","6.67","AEBR37900","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","54",""
"AE","Jharkhand","1","1","2005","2","0","3","2","ARUN MANDAL","M","IND","25296","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","17.84","no","3657","2.58","6.67","AEBR14659","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","52",""
"AE","Jharkhand","1","1","2005","2","0","3","3","KAMAL KRISHNA BHAGAT","M","BJP","21639","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","15.26","yes","1834","1.29","6.67","AEJH102837","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47",""
"AE","Jharkhand","1","1","2005","2","0","3","4","MOINUDDIN SHEKH","M","CPM","19805","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","13.97","yes","8551","6.03","6.67","AEJH102838","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38",""
"AE","Jharkhand","1","1","2005","2","0","3","5","RAMCHANDRA KESHRI","M","RJD","11254","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","7.94","yes","7003","4.94","6.67","AEJH102839","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","64",""
"AE","Jharkhand","1","1","2005","2","0","3","6","DHRUV BHAGAT","M","NCP","4251","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","3","yes","1370","0.97","6.67","AEJH102840","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","53",""
"AE","Jharkhand","1","1","2005","2","0","3","7","MD. TAJUDDIN","M","IND","2881","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","2.03","yes","432","0.3","6.67","AEJH102841","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","31",""
"AE","Jharkhand","1","1","2005","2","0","3","8","PRADEEP KUMAR VERMA","M","AJSU","2449","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","1.73","yes","95","0.07","6.67","AEJH102842","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","34",""
"AE","Jharkhand","1","1","2005","2","0","3","9","RAJENDRA PRASAD GUPTA","M","IND","2354","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","1.66","yes","502","0.35","6.67","AEJH102843","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","47",""
"AE","Jharkhand","1","1","2005","2","0","3","10","KIRAN SHANKAR SINHA","M","IND","1852","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","1.31","yes","269","0.19","6.67","AEJH102844","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","48",""
"AE","Jharkhand","1","1","2005","2","0","3","11","ANUP KUMAR RANKRAJ","M","LJP","1583","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","1.12","yes","208","0.15","6.67","AEJH102845","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","35",""
"AE","Jharkhand","1","1","2005","2","0","3","12","BHOLA MAHATO","M","IND","1375","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.97","yes","233","0.16","6.67","AEJH102846","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","30",""
"AE","Jharkhand","1","1","2005","2","0","3","13","KRISHNA PANDEY","M","BSP","1142","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.81","yes","50","0.04","6.67","AEJH102847","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29",""
"AE","Jharkhand","1","1","2005","2","0","3","14","SIDHESHWAR MANDAL","M","IND","1092","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.77","yes","5","0","6.67","AEJH102848","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49",""
"AE","Jharkhand","1","1","2005","2","0","3","15","AKIL HUSAIN ANSARI","M","IND","1087","SC","141779","225100","RAJMAHAL","GEN","","24","62.98","0.77","yes","17","0.01","6.67","AEJH102849","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40",""
"AE","Jharkhand","1","1","2005","2","0","3","16","BINOD KUMAR YADAV","M","IND","1070","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.75","yes","22","0.02","6.67","AEJH102850","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","26",""
"AE","Jharkhand","1","1","2005","2","0","3","17","ANISUR RAHMAN","M","MC","1048","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.74","yes","178","0.13","6.67","AEJH102851","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","49",""
"AE","Jharkhand","1","1","2005","2","0","3","18","DEOBRAT GUPTA","M","IND","870","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.61","yes","31","0.02","6.67","AEJH102852","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","44",""
"AE","Jharkhand","1","1","2005","2","0","3","19","DINESH PANDIT","M","IND","839","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.59","yes","39","0.03","6.67","AEJH102853","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","32",""
"AE","Jharkhand","1","1","2005","2","0","3","20","KAMLA KANT MANDAL","M","SHS","800","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.56","yes","70","0.05","6.67","AEJH102854","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","29",""
"AE","Jharkhand","1","1","2005","2","0","3","21","OM PRAKASH SAH","M","IND","730","GEN","141779","225100","RAJMAHAL","GEN","","24","62.98","0.51","yes","32","0.02","6.67","AEJH102855","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40",""
"AE","Jharkhand","1","1","2005","2","0","3","22","CHANDRA DEO BAITHA","M","SAP","698","SC","141779","225100","RAJMAHAL","GEN","","24","62.98","0.49","yes","97","0.07","6.67","AEJH102856","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","66",""
