"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Manipur","1","1","1967","2","0","2","1","M . IBOHAL","M","CPI","3856","","10466","14925","SAGOLMANG","GEN","","7","70.12","36.84","no","1588","15.17","4.17","AEMN200940","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","2","T . B . SINGH","M","INC","2268","","10466","14925","SAGOLMANG","GEN","","7","70.12","21.67","no","412","3.94","4.17","AEMN200941","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","3","L . BIRACHANDRA","M","IND","1856","","10466","14925","SAGOLMANG","GEN","","7","70.12","17.73","no","977","9.33","4.17","AEMN200942","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","4","W . KULLO","M","PSP","879","","10466","14925","SAGOLMANG","GEN","","7","70.12","8.4","yes","94","0.9","4.17","AEMN200943","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","5","T . KOMLAJAO","M","IND","785","","10466","14925","SAGOLMANG","GEN","","7","70.12","7.5","yes","127","1.21","4.17","AEMN200944","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","6","Y. K . SINGH","M","CPM","658","","10466","14925","SAGOLMANG","GEN","","7","70.12","6.29","yes","494","4.72","4.17","AEMN200945","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","1","1967","2","0","2","7","T . BOKUL","M","IND","164","","10466","14925","SAGOLMANG","GEN","","7","70.12","1.57","yes","0","0","4.17","AEMN200946","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","1","K . B . SHARMA","M","SSP","4482","","11920","15887","KHURAI","GEN","","6","75.03","37.6","no","758","6.36","3.57","AEMN200947","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","2","R . U . SINGH","M","INC","3724","","11920","15887","KHURAI","GEN","","6","75.03","31.24","no","1383","11.6","3.57","AEMN200948","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","3","N . T . SINGH","M","IND","2341","","11920","15887","KHURAI","GEN","","6","75.03","19.64","no","1502","12.6","3.57","AEMN200949","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","4","L . I . SINGH","M","IND","839","","11920","15887","KHURAI","GEN","","6","75.03","7.04","yes","480","4.03","3.57","AEMN200950","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","5","K . I . SINGH","M","CPM","359","","11920","15887","KHURAI","GEN","","6","75.03","3.01","yes","184","1.54","3.57","AEMN200951","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","2","1967","2","0","2","6","N . M . SINGH","M","IND","175","","11920","15887","KHURAI","GEN","","6","75.03","1.47","yes","0","0","3.57","AEMN200952","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","1","L . A . SINGH","M","SSP","5110","","12658","17299","WANGKHEI","GEN","","6","73.17","40.37","no","229","1.81","3.03","AEMN200953","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","2","W . I . SINGH","M","INC","4881","","12658","17299","WANGKHEI","GEN","","6","73.17","38.56","no","3906","30.86","3.03","AEMN200954","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","3","Q . A . WAHID","M","IND","975","","12658","17299","WANGKHEI","GEN","","6","73.17","7.7","yes","54","0.43","3.03","AEMN200955","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","4","W . K . SINGH","M","PSP","921","","12658","17299","WANGKHEI","GEN","","6","73.17","7.28","yes","327","2.58","3.03","AEMN200956","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","5","A . S . SHARMA","M","IND","594","","12658","17299","WANGKHEI","GEN","","6","73.17","4.69","yes","417","3.29","3.03","AEMN200957","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","3","1967","2","0","2","6","Y . B . SINGH","M","IND","177","","12658","17299","WANGKHEI","GEN","","6","73.17","1.4","yes","0","0","3.03","AEMN200958","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","1","S . A . SINGH","M","INC","4465","","12414","15437","THOGJU","GEN","","8","80.42","35.97","no","214","1.72","3.57","AEMN200959","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","2","H . S . SINGH","M","SSP","4251","","12414","15437","THOGJU","GEN","","8","80.42","34.24","no","2234","18","3.57","AEMN200960","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","3","SULEIMAN","M","IND","2017","","12414","15437","THOGJU","GEN","","8","80.42","16.25","yes","1276","10.28","3.57","AEMN200961","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","4","T . T . SINGH","M","IND","741","","12414","15437","THOGJU","GEN","","8","80.42","5.97","yes","278","2.24","3.57","AEMN200962","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","5","M . G . SINGH","M","PSP","463","","12414","15437","THOGJU","GEN","","8","80.42","3.73","yes","202","1.63","3.57","AEMN200963","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","6","T . K . SINGH","M","IND","261","","12414","15437","THOGJU","GEN","","8","80.42","2.1","yes","84","0.68","3.57","AEMN200964","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","7","U . M . SINGH","M","IND","177","","12414","15437","THOGJU","GEN","","8","80.42","1.43","yes","138","1.11","3.57","AEMN200965","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","4","1967","2","0","2","8","O . R . SINGH","M","IND","39","","12414","15437","THOGJU","GEN","","8","80.42","0.31","yes","0","0","3.57","AEMN200966","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","1","A . ALI","M","IND","3726","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","27.27","no","943","6.9","5.56","AEMN200967","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","2","P . P . SINGH","M","CPI","2783","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","20.37","no","38","0.28","5.56","AEMN200968","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","3","N . N . SINGH","M","INC","2745","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","20.09","no","209","1.53","5.56","AEMN200969","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","4","K . K . SINGH","M","IND","2536","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","18.56","no","1752","12.82","5.56","AEMN200970","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","5","JAMKHOGIN","M","IND","784","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","5.74","yes","276","2.02","5.56","AEMN200971","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","6","S . B . SINGH","M","IND","508","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","3.72","yes","64","0.47","5.56","AEMN200972","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","7","S . K . SINGH","M","CPM","444","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","3.25","yes","309","2.26","5.56","AEMN200973","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","5","1967","2","0","2","8","T . G . SINGH","M","IND","135","","13661","19203","TOP CHINGTHA","GEN","","8","71.14","0.99","yes","0","0","5.56","AEMN200974","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","6","1967","2","0","2","1","C . RAJMOHON","M","IND","4253","","12822","15539","MAYANG INPHAL","GEN","","4","82.51","33.17","no","815","6.36","3.85","AEMN200975","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","6","1967","2","0","2","2","K . GULAMJAT","M","IND","3438","","12822","15539","MAYANG INPHAL","GEN","","4","82.51","26.81","no","443","3.45","3.85","AEMN200728","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","6","1967","2","0","2","3","T . TOYAIMA","M","INC","2995","","12822","15539","MAYANG INPHAL","GEN","","4","82.51","23.36","no","859","6.7","3.85","AEMN200977","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","6","1967","2","0","2","4","SULEIMAN","M","IND","2136","","12822","15539","MAYANG INPHAL","GEN","","4","82.51","16.66","yes","0","0","3.85","AEMN200978","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","1","A . BIRAMANGOL","M","IND","3389","","13644","18616","SINGJAMEI","GEN","","7","73.29","24.84","no","302","2.21","5","AEMN200979","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","2","I . TOMPOK","M","IND","3087","","13644","18616","SINGJAMEI","GEN","","7","73.29","22.63","no","191","1.4","5","AEMN200980","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","3","T . CHANDRASEKHOR","M","SSP","2896","","13644","18616","SINGJAMEI","GEN","","7","73.29","21.23","no","161","1.18","5","AEMN200745","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","4","H . BARUNI","M","INC","2735","","13644","18616","SINGJAMEI","GEN","","7","73.29","20.05","no","1968","14.42","5","AEMN200743","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","5","R . K . MANISANA","M","IND","767","","13644","18616","SINGJAMEI","GEN","","7","73.29","5.62","yes","72","0.53","5","AEMN200983","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","6","K . BABUSAHEB","M","IND","695","","13644","18616","SINGJAMEI","GEN","","7","73.29","5.09","yes","620","4.54","5","AEMN200984","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","7","1967","2","0","2","7","S . BIRA","M","IND","75","","13644","18616","SINGJAMEI","GEN","","7","73.29","0.55","yes","0","0","5","AEMN200985","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","8","1967","2","0","2","1","S . GAMBHIR","M","INC","6595","","12683","16203","SAGOLBAND","GEN","","2","78.28","52","no","507","4","2","AEMN200986","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Manipur","1","8","1967","2","0","2","2","N . IBOMCHA","M","IND","6088","","12683","16203","SAGOLBAND","GEN","","2","78.28","48","no","0","0","2","AEMN200987","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
