"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Meghalaya","1","1","1972","3","0","2","1","B. B. SHALLAM","M","AHL","2907","","5916","8233","JOWAI","ST","","5","71.86","49.14","no","1165","19.69","2.86","AEML1","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","1","1972","3","0","2","2","GORDON D. PDE","M","INC","1742","","5916","8233","JOWAI","ST","","5","71.86","29.45","no","984","16.63","2.86","AEML2","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","1","1972","3","0","2","3","BNEIN BAREH","M","IND","758","","5916","8233","JOWAI","ST","","5","71.86","12.81","yes","397","6.71","2.86","AEML5196223","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","1","1972","3","0","2","4","DEVILIN TALANG","M","IND","361","","5916","8233","JOWAI","ST","","5","71.86","6.1","yes","213","3.6","2.86","AEML5195939","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","1","1972","3","0","2","5","INDRO PARIAT","M","IND","148","","5916","8233","JOWAI","ST","","5","71.86","2.5","yes","0","0","2.86","AEML5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","2","1972","3","0","2","1","ENOWELL POHSHNA","M","IND","2426","","6367","9793","NONGTALANG","ST","","4","65.02","38.1","no","98","1.54","2.94","AEML5195708","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","2","1972","3","0","2","2","JOHNDENG POHRMEN","M","AHL","2328","","6367","9793","NONGTALANG","ST","","4","65.02","36.56","no","758","11.91","2.94","AEML7","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","2","1972","3","0","2","3","QHIWOT KHONGLAH","M","IND","1570","","6367","9793","NONGTALANG","ST","","4","65.02","24.66","no","1527","23.98","2.94","AEML8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","2","1972","3","0","2","4","THOMAS MON KHONGLAH","M","IND","43","","6367","9793","NONGTALANG","ST","","4","65.02","0.68","yes","0","0","2.94","AEML9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","3","1972","3","0","2","1","LEWIS BAREH","M","IND","3555","","6281","8716","RYMBAI","ST","","2","72.06","56.6","no","829","13.2","1.96","AEML10","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","3","1972","3","0","2","2","NIHON KSIH","M","AHL","2726","","6281","8716","RYMBAI","ST","","2","72.06","43.4","no","0","0","1.96","AEML11","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","4","1972","3","0","2","1","ONWARDLEYS WELL NONGTFD","M","IND","2411","","6096","8691","SUTNGA","ST","","3","70.14","39.55","no","549","9.01","2.94","AEML5195205","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","4","1972","3","0","2","2","BERYL SUTNGA","M","AHL","1862","","6096","8691","SUTNGA","ST","","3","70.14","30.54","no","39","0.64","2.94","AEML13","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","4","1972","3","0","2","3","ROLBERT LW","M","INC","1823","","6096","8691","SUTNGA","ST","","3","70.14","29.9","no","0","0","2.94","AEML14","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Meghalaya","1","5","1972","3","0","2","1","EDWINGSON BAREH","M","AHL","3890","","7664","10376","NARTIANG","ST","","3","73.86","50.76","no","953","12.43","2.38","AEML15","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
