"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Mizoram","1","1","1972","4","0","2","1","HIPHEI","M","IND","1391","ST","3519","4337","TUIPANG","GEN","","3","81.14","39.53","no","278","7.9","2.94","AEMZ603","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","1","1972","4","0","2","2","MALAI HLYCHO","M","IND","1113","","3519","4337","TUIPANG","GEN","","3","81.14","31.63","no","98","2.78","2.94","AEMZ1715","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","1","1972","4","0","2","3","S. HIATO","M","IND","1015","ST","3519","4337","TUIPANG","GEN","","3","81.14","28.84","no","0","0","2.94","AEMZ1116","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","1","SANGCHHUN","M","IND","1004","","4237","5522","SANGAU","GEN","","8","76.73","23.7","no","184","4.34","5.56","AEMZ1717","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","2","UKMA GI","M","IND","820","","4237","5522","SANGAU","GEN","","8","76.73","19.35","no","6","0.14","5.56","AEMZ1718","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","3","YADYU","M","IND","814","","4237","5522","SANGAU","GEN","","8","76.73","19.21","no","69","1.63","5.56","AEMZ1719","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","4","THAWNGCHINA","M","IND","745","","4237","5522","SANGAU","GEN","","8","76.73","17.58","no","429","10.13","5.56","AEMZ1720","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","5","B. SANGCHEMA","M","INC","316","","4237","5522","SANGAU","GEN","","8","76.73","7.46","yes","78","1.84","5.56","AEMZ1562","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","6","LIANUPA","M","IND","238","","4237","5522","SANGAU","GEN","","8","76.73","5.62","yes","39","0.92","5.56","AEMZ1722","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mizoram","1","2","1972","4","0","2","7","LACHMUNGA","M","IND","199","","4237","5522","SANGAU","GEN","","8","76.73","4.7","yes","98","2.31","5.56","AEMZ1723","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
