"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Mysore","2","1","1962","2","0","1","1","PRABHOO RAO DHONDIBA","M","INC","9098","","19025","57685","SANTPUR","SC","","3","32.98","47.82","no","1205","6.33","2.44","AEKA107255","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","1","1962","2","0","1","2","G. VITHAL RAO KAMBLE","M","REP","7893","","19025","57685","SANTPUR","SC","","3","32.98","41.49","no","5859","30.8","2.44","AEKA107256","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","1","1962","2","0","1","3","B. SHAMSUNDER","M","PSP","2034","","19025","57685","SANTPUR","SC","","3","32.98","10.69","yes","0","0","2.44","AEKA107257","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","2","1962","2","0","1","1","BHIMANNA SHIVLINGAPPA","M","PSP","12114","","25060","49610","BHALKI","GEN","","3","50.51","48.34","no","5537","22.09","2.78","AEKA107258","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","2","1962","2","0","1","2","YESHWANT RAO KESHAV RAO","M","IND","6577","","25060","49610","BHALKI","GEN","","3","50.51","26.25","no","208","0.83","2.78","AEKA107259","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","2","1962","2","0","1","3","NEELKANTHAYYA MAHADAYYA","M","INC","6369","","25060","49610","BHALKI","GEN","","3","50.51","25.42","no","0","0","2.78","AEKA107260","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","3","1962","2","0","1","1","MAQSOOD ALIKHAN","M","INC","14277","","21043","52145","BIDAR","GEN","","3","40.35","67.85","no","8116","38.57","1.82","AEKA107261","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","3","1962","2","0","1","2","R. V. BIDAP","M","PSP","6161","","21043","52145","BIDAR","GEN","","3","40.35","29.28","no","5556","26.4","1.82","AEKA107262","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","3","1962","2","0","1","3","SHIVRAM MAROTHI","M","REP","605","","21043","52145","BIDAR","GEN","","3","40.35","2.88","yes","0","0","1.82","AEKA107263","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Mysore","2","4","1962","2","0","1","1","BAPU RAO","M","IND","13424","","31154","55127","HULSUR","GEN","","3","56.51","43.09","no","38","0.12","2.56","AEKA107264","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
