"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Nagaland","1","1","1964","1","0","2","1","SHRI GOVINDA CH. PAIRA","M","IND","2226","","3948","6422","DIMAPUR TOWN","GEN","","2","61.48","56.38","no","504","12.77","1.96","AENL1","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","1","1964","1","0","2","2","SHRI KEVICHUSA","M","IND","1722","","3948","6422","DIMAPUR TOWN","GEN","","2","61.48","43.62","no","0","0","1.96","AENL5196029","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","2","1964","1","0","2","1","SHRI DEBALAL MECH.","M","IND","1575","","2635","3553","DIMAPUR","GEN","","2","74.16","59.77","no","515","19.54","1.92","AENL3","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","2","1964","1","0","2","2","SHRI VILHUMA ANGAMI","M","IND","1060","","2635","3553","DIMAPUR","GEN","","2","74.16","40.23","no","0","0","1.92","AENL4","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","3","1964","1","0","2","1","SHRI LANGKAM","M","IND","1024","","2820","3261","GHASPANI","GEN","","4","86.48","36.31","no","145","5.14","3.45","AENL5","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","3","1964","1","0","2","2","SHRI KHELHOSE SEMA","M","IND","879","","2820","3261","GHASPANI","GEN","","4","86.48","31.17","no","238","8.44","3.45","AENL5195494","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","3","1964","1","0","2","3","SHRI N.Z. MKRITSU","M","IND","641","","2820","3261","GHASPANI","GEN","","4","86.48","22.73","no","365","12.94","3.45","AENL7","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","3","1964","1","0","2","4","SHRI NGUTSONYU","M","IND","276","","2820","3261","GHASPANI","GEN","","4","86.48","9.79","yes","0","0","3.45","AENL8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","4","1964","1","0","2","1","SHRI LALKHOLAM","M","IND","1235","","2167","2953","TENING","GEN","","3","73.38","56.99","no","535","24.69","2.33","AENL9","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","4","1964","1","0","2","2","SHRI HUTHOMBO","M","IND","700","","2167","2953","TENING","GEN","","3","73.38","32.3","no","468","21.6","2.33","AENL10","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","4","1964","1","0","2","3","SHRI LUTJAKAI","M","IND","232","","2167","2953","TENING","GEN","","3","73.38","10.71","yes","0","0","2.33","AENL11","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","5","1964","1","0","2","1","SHRI LONGBE","M","IND","1624","","2181","3166","PEREN","GEN","","2","68.89","74.46","no","1067","48.92","1.61","AENL12","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","5","1964","1","0","2","2","SHRI LEVI","M","IND","557","","2181","3166","PEREN","GEN","","2","68.89","25.54","no","0","0","1.61","AENL13","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","5","1966","1","1","2","1","IKIESING","","NNO","-1","","-1","3166","PEREN","GEN","","1","-0.03","99.99","no","0","0","1","AENL604","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","6","1964","1","0","2","1","SHRI T.N. ANGAMI","M","IND","1756","","2666","3770","WESTREN ANGAMI","GEN","","2","70.72","65.87","no","846","31.73","1.82","AENL245","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","6","1964","1","0","2","2","SHRI KEVICHUSA","M","IND","910","","2666","3770","WESTREN ANGAMI","GEN","","2","70.72","34.13","no","0","0","1.82","AENL5196030","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","7","1964","1","0","2","1","SHRI JASOKIE","M","IND","2182","","2662","4862","KOHIMA TOWN","GEN","","3","54.75","81.97","no","1740","65.36","1.43","AENL16","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","7","1964","1","0","2","2","SHRI SILIE HARALU","M","IND","442","","2662","4862","KOHIMA TOWN","GEN","","3","54.75","16.6","yes","404","15.18","1.43","AENL17","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","7","1964","1","0","2","3","SHRI SHYAMLAL MUNSHI","M","IND","38","","2662","4862","KOHIMA TOWN","GEN","","3","54.75","1.43","yes","0","0","1.43","AENL18","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","8","1964","1","0","2","1","SHRI NEITUO","M","IND","1937","","2376","3113","NORTHERN ANGAMI I","GEN","","2","76.33","81.52","no","1498","63.05","1.45","AENL2164","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","8","1964","1","0","2","2","SHRI Z. YEKRULIE","M","IND","439","","2376","3113","NORTHERN ANGAMI I","GEN","","2","76.33","18.48","no","0","0","1.45","AENL20","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","8","1966","1","1","2","1","K.ANGAMI","","NNO","-1","","-1","3113","NORTHERN ANGAMI(I)","GEN","","1","-0.03","99.99","no","0","0","1","AENL605","","","TRUE","2","IND","","SOUTHERN ANGAMI I","FALSE","FALSE","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","9","1964","1","0","2","1","SHRI LHOUSUOHIE","M","IND","2025","","3206","4324","NORTHERN ANGAMI I I","GEN","","2","74.14","63.16","no","844","26.33","1.85","AENL21","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","9","1964","1","0","2","2","SHRI THINUOCHULIE","M","IND","1181","","3206","4324","NORTHERN ANGAMI I I","GEN","","2","74.14","36.84","no","0","0","1.85","AENL22","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","9","1966","1","1","2","1","K.V.KEDITSU","","IND","788","","1397","4324","NORTHERN ANGAMI (II)","GEN","","2","32.31","56.41","no","179","12.81","1.96","AENL1121","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","9","1966","1","1","2","2","L.ANGAMI","","NNO","609","","1397","4324","NORTHERN ANGAMI (II)","GEN","","2","32.31","43.59","no","0","0","1.96","AENL611","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","10","1964","1","0","2","1","SHRI VIYEKHA","M","IND","1660","","2549","3373","TSEMINYU","GEN","","2","75.57","65.12","no","771","30.25","1.85","AENL23","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","10","1964","1","0","2","2","SHRI RIGA THONG","M","IND","889","","2549","3373","TSEMINYU","GEN","","2","75.57","34.88","no","0","0","1.85","AENL24","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","10","1966","1","1","2","1","R.THONG","","NNO","-1","","-1","3373","TSEMINYU","GEN","","1","-0.03","99.99","no","0","0","1","AENL24","","","TRUE","2","IND","","TSEMINYU","TRUE","FALSE","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","11","1964","1","0","2","1","SHRI KIYELHO (UNCONTESTED)","M","IND","0","","0","4257","PUGHOBOTO","GEN","","1","0","","no","0","","","AENL25","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","12","1964","1","0","2","1","SHRI NGUROHIE ZAO","M","IND","1205","","2595","2925","SOUTHERN ANGAMI I","GEN","","3","88.72","46.44","no","224","8.63","2.63","AENL5195549","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","12","1964","1","0","2","2","SHRI KEHOZO KHIEYA","M","IND","981","","2595","2925","SOUTHERN ANGAMI I","GEN","","3","88.72","37.8","no","572","22.04","2.63","AENL27","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","12","1964","1","0","2","3","SHRI VITSONI","M","IND","409","","2595","2925","SOUTHERN ANGAMI I","GEN","","3","88.72","15.76","yes","0","0","2.63","AENL605","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","12","1966","1","1","2","1","K.KHIEYA","","NNO","-1","","-1","2925","SOUTHERN ANGAMI(I)","GEN","","1","-0.03","99.99","no","0","0","1","AENL27","","","TRUE","2","IND","","SOUTHERN ANGAMI I","FALSE","FALSE","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","13","1964","1","0","2","1","SHRI VIZOL","M","IND","1696","","2818","3238","SOUTHERN ANGAMI I I","GEN","","2","87.03","60.18","no","574","20.37","1.92","AENL1117","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","13","1964","1","0","2","2","SHRI HOSAL KIN","M","IND","1122","","2818","3238","SOUTHERN ANGAMI I I","GEN","","2","87.03","39.82","no","0","0","1.92","AENL30","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","13","1966","1","1","2","1","H.KIN","","NNO","-1","","-1","3238","SOUTHERN ANGAM (II)","GEN","","1","-0.03","99.99","no","0","0","1","AENL30","","","TRUE","2","IND","","SOUTHERN ANGAMI I I","FALSE","FALSE","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","14","1964","1","0","2","1","SHRI WEZHULHU","M","IND","1633","","2334","2709","PFUTSERO","GEN","","2","86.16","69.97","no","932","39.93","1.72","AENL31","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","14","1964","1","0","2","2","SHRI KEWETSO RITSE","M","IND","701","","2334","2709","PFUTSERO","GEN","","2","86.16","30.03","no","0","0","1.72","AENL32","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","15","1964","1","0","2","1","SHRI PUDENU DEMO (UNCONTESTED)","M","IND","0","","0","2118","CHAZOUBA","GEN","","1","0","","no","0","","","AENL33","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","16","1964","1","0","2","1","SHRI NETSUTSO THEYO","M","IND","1459","","2249","2887","CHAZOUBA","GEN","","2","77.9","64.87","no","669","29.75","1.85","AENL34","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","16","1964","1","0","2","2","SHRI PHUKUVE","M","IND","790","","2249","2887","CHAZOUBA","GEN","","2","77.9","35.13","no","0","0","1.85","AENL5196303","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","17","1964","1","0","2","1","SHRI LHUTHIPRU (UNCONTESTED)","M","IND","0","","0","3444","PHEK","GEN","","1","0","","no","0","","","AENL36","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","18","1964","1","0","2","1","SHRI LHUSETSU","M","IND","1509","","2478","2719","CHIZAMI","GEN","","3","91.14","60.9","no","946","38.18","2.22","AENL37","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","18","1964","1","0","2","2","SHRI WETZULO","M","IND","563","","2478","2719","CHIZAMI","GEN","","3","91.14","22.72","no","157","6.34","2.22","AENL38","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","18","1964","1","0","2","3","SHRI WEZOLO","M","IND","406","","2478","2719","CHIZAMI","GEN","","3","91.14","16.38","yes","0","0","2.22","AENL39","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","19","1964","1","0","2","1","SHRI AMON ( UNCONTESTED)","M","IND","0","","0","2984","MELURI","GEN","","1","0","","no","0","","","AENL40","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","20","1964","1","0","2","1","SHRI KAJENKABA","M","IND","943","","1743","2317","TULI","GEN","","2","75.23","54.1","no","143","8.2","2","AENL41","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","20","1964","1","0","2","2","SHRI NOKLENSAMA JAMIR","M","IND","800","","1743","2317","TULI","GEN","","2","75.23","45.9","no","0","0","2","AENL5196070","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","20","1966","1","1","2","1","MARAACHIBA","","IND","-1","","-1","2317","TULI","GEN","","1","-0.04","99.99","no","0","0","1","AENL615","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","21","1964","1","0","2","1","SHRI R.C. CHITEN JAMIR (UNCONTESTED)","M","IND","0","","0","2946","ARKAKONG","GEN","","1","0","","no","0","","","AENL43","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","22","1964","1","0","2","1","SHRI SUZUMAR IMSONG (UNCONTESTED)","M","IND","0","","0","2496","YISEMYONG","GEN","","1","0","","no","0","","","AENL5195324","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","23","1964","1","0","2","1","SHRI BENDANGANGSHI","M","IND","1258","","1559","2363","MONGOYA","GEN","","2","65.98","80.69","no","957","61.39","1.45","AENL5195899","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","23","1964","1","0","2","2","SHRI TENOMAYANG AO","M","IND","301","","1559","2363","MONGOYA","GEN","","2","65.98","19.31","no","0","0","1.45","AENL46","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","23","1966","1","1","2","1","T.I.JAMIR","","IND","-1","","-1","2363","MONGOYA","GEN","","1","-0.04","99.99","no","0","0","1","AENL616","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","24","1964","1","0","2","1","SHRI KHELHOSHE SEMA","M","IND","670","","1314","2165","MOKOKCHUNG TOWN","GEN","","2","60.69","50.99","no","26","1.98","2","AENL5195495","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","24","1964","1","0","2","2","SHRI TEKASOSANG","M","IND","644","","1314","2165","MOKOKCHUNG TOWN","GEN","","2","60.69","49.01","no","0","0","2","AENL175","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","24","1966","1","1","2","1","A.LONGKUMER","","IND","905","","1758","2165","MOKOKCHUNG TOWN","GEN","","2","81.2","51.48","no","52","2.96","1.96","AENL617","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","24","1966","1","1","2","2","MOKLONSAMA AO","","IND","853","","1758","2165","MOKOKCHUNG TOWN","GEN","","2","81.2","48.52","no","0","0","1.96","AENL620","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","25","1964","1","0","2","1","SHRI IMSUMEREN","M","IND","1788","","2030","2583","AUNGLENDEN","GEN","","2","78.59","88.08","no","1546","76.16","1.27","AENL5196212","","","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Nagaland","1","25","1964","1","0","2","2","SHRI KARIBA AO.","M","IND","242","","2030","2583","AUNGLENDEN","GEN","","2","78.59","11.92","yes","0","0","1.27","AENL5196337","","","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","",""
