"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Odisha","4","1","1967","2","0","2","1","P.K.DAS","M","SWA","10020","","16188","56296","KARANJIA","ST","","4","28.76","61.9","no","7328","45.27","2.27","AEOD10759","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","1","1967","2","0","2","2","K.NATH","M","INC","2692","","16188","56296","KARANJIA","ST","","4","28.76","16.63","yes","475","2.93","2.27","AEOD10760","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","1","1967","2","0","2","3","S.C.SUNDHI","M","JAC","2217","","16188","56296","KARANJIA","ST","","4","28.76","13.7","yes","958","5.92","2.27","AEOD10761","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","1","1967","2","0","2","4","R.JERAI","M","IND","1259","","16188","56296","KARANJIA","ST","","4","28.76","7.78","yes","0","0","2.27","AEOD10762","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","1","D.C.NAYAK","M","SWA","8032","","15972","62354","JASHIPUR","ST","","6","25.62","50.29","no","4887","30.6","3.23","AEOD10763","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","2","P.C.NAIK","M","IND","3145","","15972","62354","JASHIPUR","ST","","6","25.62","19.69","no","934","5.85","3.23","AEOD10764","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","3","M.TRIYA","M","INC","2211","","15972","62354","JASHIPUR","ST","","6","25.62","13.84","yes","1098","6.87","3.23","AEOD10765","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","4","B.BHADRA","M","IND","1113","","15972","62354","JASHIPUR","ST","","6","25.62","6.97","yes","202","1.26","3.23","AEOD10766","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","5","L.BANRA","M","IND","911","","15972","62354","JASHIPUR","ST","","6","25.62","5.7","yes","351","2.2","3.23","AEOD10767","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Odisha","4","2","1967","2","0","2","6","K.HEMBRAM","M","IND","560","","15972","62354","JASHIPUR","ST","","6","25.62","3.51","yes","0","0","3.23","AEOD10768","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
