"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Sikkim","1","1","1979","12","0","3","1","SANCHAMAN LIMBOO","M","SJP","754","","2385","3743","YOKSAM","GEN","","6","63.72","31.61","no","198","8.3","4.76","AESK84017","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","1","1979","12","0","3","2","ASHOK KUMAR SUBBA","M","IND","556","","2385","3743","YOKSAM","GEN","","6","63.72","23.31","no","88","3.69","4.76","AESK83705","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","1","1979","12","0","3","3","MOHAN KUMAR GURUNG","M","SPC","468","","2385","3743","YOKSAM","GEN","","6","63.72","19.62","no","157","6.58","4.76","AESK84019","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","1","1979","12","0","3","4","RAM BAHADUR LIMBOO","M","JNP","311","","2385","3743","YOKSAM","GEN","","6","63.72","13.04","yes","158","6.62","4.76","AESK84020","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","1","1979","12","0","3","5","CHEWANG DORJEE BHUTIA","M","IND","153","","2385","3743","YOKSAM","GEN","","6","63.72","6.42","yes","10","0.42","4.76","AESK84021","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","1","1979","12","0","3","6","MANGAL LIMBOO","M","SCR","143","","2385","3743","YOKSAM","GEN","","6","63.72","6","yes","0","0","4.76","AESK84022","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","1","DAWGYAL PENTSO BHUTIA","M","SJP","729","","1547","2716","TASHIDING","ST","","6","56.96","47.12","no","227","14.67","2.94","AESK83831","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","2","PHURBA WANGYAL LASSOPA","M","JNP","502","","1547","2716","TASHIDING","ST","","6","56.96","32.45","no","371","23.98","2.94","AESK84024","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","3","LAGO TSERING BHUTIA","M","SPC","131","","1547","2716","TASHIDING","ST","","6","56.96","8.47","yes","24","1.55","2.94","AESK84025","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","4","PHURBA DORJEE SHERPA","M","SCR","107","","1547","2716","TASHIDING","ST","","6","56.96","6.92","yes","39","2.52","2.94","AESK84026","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","5","RUTH KARTHOK LEPCHANI","F","IND","68","","1547","2716","TASHIDING","ST","","6","56.96","4.4","yes","58","3.75","2.94","AESK84027","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","2","1979","12","0","3","6","YONGDA LEPCHA","M","IND","10","","1547","2716","TASHIDING","ST","","6","56.96","0.65","yes","0","0","2.94","AESK84028","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","1","INDRA BAHADUR LIMBOO","M","SJP","811","","2435","3322","GEYZING","GEN","","11","73.3","33.31","no","168","6.9","5","AESK84029","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","2","NANDA KUMAR SUBEDI","M","SCR","643","","2435","3322","GEYZING","GEN","","11","73.3","26.41","no","347","14.25","5","AESK84030","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","3","DUDRAJ GURUNG","M","JNP","296","","2435","3322","GEYZING","GEN","","11","73.3","12.16","yes","78","3.2","5","AESK84031","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","4","DHAN BAHADUR BASNET","M","SPC","218","","2435","3322","GEYZING","GEN","","11","73.3","8.95","yes","76","3.12","5","AESK83844","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","5","PADAM DHOJ LIMBU","M","IND","142","","2435","3322","GEYZING","GEN","","11","73.3","5.83","yes","32","1.31","5","AESK84033","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Sikkim","1","3","1979","12","0","3","6","KANCHO BHUTIA","M","IND","110","","2435","3322","GEYZING","GEN","","11","73.3","4.52","yes","48","1.97","5","AESK84034","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
