"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Telangana","1","1","2014","5","0","4","1","KONERU KONAPPA","M","BSP","49033","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","32.41","no","8837","5.84","4.35","AEAP1","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","58","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","2","KAVETI SAMMAIAH","M","TRS","40196","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","26.57","no","13241","8.75","4.35","AEAP4244","","","TRUE","3","TRS","","SIRPUR","TRUE","TRUE","1","FALSE","FALSE","FALSE","57","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","3","KOKKIRALA PREM SAGAR RAO","M","INC","26955","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","17.82","no","7596","5.02","4.35","AEAP81576","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","50","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","4","RAAVI SRINIVAS RAO","M","TDP","19359","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","12.8","yes","14684","9.71","4.35","AEAP4","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","40","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","5","M.D RAZI HYDER.","M","MASP","4675","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","3.09","yes","906","0.6","4.35","AEAP5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","59","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","6","MOHAMMAD JABBAR KHAN.","M","IND","3769","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","2.49","yes","2013","1.33","4.35","AEAP6","","","TRUE","2","SAP","","SECUNDERABAD","FALSE","FALSE","0","FALSE","FALSE","FALSE","50","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","7","None of the Above","","NOTA","1756","","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","1.16","yes","142","0.09","4.35","","","","TRUE","","","","","","","","","FALSE","FALSE","","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","8","DURGAM. SHYAM RAO","M","IND","1614","SC","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","1.07","yes","351","0.23","4.35","AEAP42990","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","57","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","9","MURALI KRISHNA.R.","M","IND","1263","GEN","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","0.83","yes","330","0.22","4.35","AEAP9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","38","ADILABAD"
"AE","Telangana","1","1","2014","5","0","4","10","M.RAMCHANDER","M","IND","933","SC","151288","190962","SIRPUR","GEN","TELANGANA","11","79.22","0.62","yes","10","0.01","4.35","AEAP10","","","TRUE","2","IND","","YELLAREDDY","FALSE","TRUE","0","FALSE","FALSE","FALSE","54","ADILABAD"
