"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"AE","Tripura","1","1","1967","2","0","2","1","P . R . D . GUPTA","M","INC","8666","","15679","21739","MOHANPUR","GEN","","3","72.12","55.27","no","1784","11.38","2","AETR2587","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","1","1967","2","0","2","2","N . CHAKRAVORTY","M","CPM","6882","","15679","21739","MOHANPUR","GEN","","3","72.12","43.89","no","6751","43.06","2","AETR5195499","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","1","1967","2","0","2","3","B . R . D . BARWA","M","BJS","131","","15679","21739","MOHANPUR","GEN","","3","72.12","0.84","yes","0","0","2","AETR3","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","2","1967","2","0","2","1","B . B . DAS","M","INC","8117","","13443","18374","AGARTALASADAR I","SC","","3","73.16","60.38","no","4649","34.58","2.22","AETR5195929","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","2","1967","2","0","2","2","M . K . ROY","M","CPM","3468","","13443","18374","AGARTALASADAR I","SC","","3","73.16","25.8","no","1610","11.98","2.22","AETR5","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","2","1967","2","0","2","3","G . R . CHOUDHURY","M","IND","1858","","13443","18374","AGARTALASADAR I","SC","","3","73.16","13.82","yes","0","0","2.22","AETR6","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","3","1967","2","0","2","1","S . SINGH","M","INC","11445","","17767","24976","AGARTALASADAR II","GEN","","4","71.14","64.42","no","5608","31.56","1.92","AETR7","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","3","1967","2","0","2","2","S . R . CHANDA","M","CPM","5837","","17767","24976","AGARTALASADAR II","GEN","","4","71.14","32.85","no","5557","31.28","1.92","AETR8","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","3","1967","2","0","2","3","M . R . R . CHOUDHURY","M","IND","280","","17767","24976","AGARTALASADAR II","GEN","","4","71.14","1.58","yes","75","0.42","1.92","AETR9","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","3","1967","2","0","2","4","A . R . PAUL","M","BJS","205","","17767","24976","AGARTALASADAR II","GEN","","4","71.14","1.15","yes","0","0","1.92","AETR10","","","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"AE","Tripura","1","4","1967","2","0","2","1","T . M . D . GUPTA","M","INC","8872","","15516","21446","AGARTALA SADAR III","GEN","","4","72.35","57.18","no","3589","23.13","2.17","AETR11","","","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
